prefix,last_accessed_days_ago,access_count_30d
raw-data/2026-q1/,0,43
raw-data/2026-q2/,2,71
raw-data/2026-current/,1,57
raw-data/2025-q4/,7,31
raw-data/2025-q3/,6,28
raw-data/2025-q2/,48,2
raw-data/2025-q1/,22,3
raw-data/2024-archive/,87,0
raw-data/2023-archive/,458,0
raw-data/2022-archive/,487,0
raw-data/onboarding-assets/,697,0
raw-data/deprecated-schema/,477,0
logs/app-server/2026/,2,40
logs/app-server/2025-q4/,9,32
logs/batch-jobs/2026/,17,20
logs/batch-jobs/2025/,38,4
logs/debug/2025/,87,1
logs/debug/2024/,252,0
logs/audit/2025/,108,0
logs/audit/2022/,383,0
raw-data/edge-30days/,30,5
raw-data/edge-60days/,60,1
raw-data/edge-90days/,90,0
raw-data/edge-zero-access/,45,0
raw-data/edge-single-access/,89,1
