"requestdatetime","remoteip","operation","key","objectsize"
"12/Sep/2026:17:13:29 +0000","36.255.16.51","REST.OPTIONS.PREFLIGHT","-",
"12/Sep/2026:17:13:29 +0000","36.255.16.51","REST.GET.BUCKET","-",
"12/Sep/2026:17:13:16 +0000","36.255.16.51","REST.GET.OWNERSHIP_CONTROLS","-",
"12/Sep/2026:17:13:16 +0000","36.255.16.51","REST.OPTIONS.PREFLIGHT","-",
"12/Sep/2026:17:13:13 +0000","36.255.16.51","REST.GET.VERSIONING","-",
"12/Sep/2026:17:13:13 +0000","36.255.16.51","REST.GET.BUCKET","-",
"12/Sep/2026:17:13:13 +0000","36.255.16.51","REST.OPTIONS.PREFLIGHT","-",
"12/Sep/2026:17:13:13 +0000","36.255.16.51","REST.OPTIONS.PREFLIGHT","-",
"12/Sep/2026:17:12:57 +0000","36.255.16.51","REST.OPTIONS.PREFLIGHT","-",
"12/Sep/2026:17:12:57 +0000","36.255.16.51","REST.HEAD.BUCKET","-",
"12/Sep/2026:10:25:34 +0000","36.255.16.51","REST.GET.OBJECT","project-data/FILE_3.txt","6"
"12/Sep/2026:10:25:27 +0000","36.255.16.51","REST.GET.OBJECT","project-data/FILE_3.txt","6"
"12/Sep/2026:10:25:23 +0000","36.255.16.51","REST.GET.OBJECT","project-data/FILE_3.txt","6"
"12/Sep/2026:10:25:19 +0000","36.255.16.51","REST.GET.OBJECT","project-data/FILE_3.txt","6"
"12/Sep/2026:10:25:14 +0000","36.255.16.51","REST.GET.OBJECT","project-data/FILE_3.txt","6"
"12/Sep/2026:10:25:12 +0000","36.255.16.51","REST.HEAD.OBJECT","project-data/FILE_3.txt","6"
"12/Sep/2026:10:25:11 +0000","36.255.16.51","REST.OPTIONS.PREFLIGHT","project-data/FILE_3.txt",
"12/Sep/2026:10:25:11 +0000","36.255.16.51","REST.GET.OBJECT_TAGGING","project-data/FILE_3.txt",
"12/Sep/2026:10:25:11 +0000","36.255.16.51","REST.GET.OBJECT_ANNOTATIONS","project-data/FILE_3.txt",
"12/Sep/2026:10:25:11 +0000","36.255.16.51","REST.OPTIONS.PREFLIGHT","project-data/FILE_3.txt",
